INCIDENT_MONTH,TIME_OF_DAY,PHASE_OF_FLIGHT,ALTITUDE_GROUP,DISTANCE_GROUP,SPECIES,SIZE_CLEAN,NUM_STRUCK,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,FAAREGION,STATE,SKY_CLEAN,Damage_Binary
3,Day,Approach,0-500 ft,Unknown,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,TX,No Cloud,0
3,Night,Approach,0-500 ft,0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ACE,IA,No Cloud,0
3,Night,Approach,"3,501-10,000 ft",5-20 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,ASO,SC,No Cloud,0
3,Day,Approach,0-500 ft,Unknown,California gull,Medium,1,A,4.0,D,2.0,AWP,CA,Some Cloud,0
3,Night,Approach,0-500 ft,0-5 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,AEA,VA,No Cloud,0
3,Night,Approach,"501-1,500 ft",0-5 NM,Mourning dove,Small,1,A,4.0,D,2.0,AEA,NY,No Cloud,0
3,Day,Landing Roll,0-500 ft,0 NM,Western sandpiper,Small,2-10,A,3.0,D,2.0,AWP,CA,No Cloud,0
3,Night,Approach,"1,501-3,500 ft",5-20 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,ACE,MO,Some Cloud,0
3,Night,Descent,Unknown,Unknown,Brewer's blackbird,Small,1,A,4.0,D,2.0,ASW,TX,Some Cloud,1
3,Day,Climb,0-500 ft,0 NM,Hawks,Medium,1,A,1.0,A,1.0,ASO,FL,No Cloud,0
3,Night,Approach,Unknown,0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ACE,MO,Some Cloud,0
2,Night,Take-off Run,0-500 ft,0 NM,Black-tailed jackrabbit,Large,1,A,3.0,D,2.0,ASW,TX,No Cloud,0
2,Dawn,Landing Roll,0-500 ft,0 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,ANM,CO,No Cloud,0
2,Day,Approach,0-500 ft,Unknown,Canada goose,Large,1,A,4.0,D,2.0,ANM,CO,Overcast,0
1,Day,Landing Roll,0-500 ft,0 NM,Horned lark,Small,2-10,A,5.0,D,2.0,ANM,CO,Some Cloud,1
3,Day,Approach,Unknown,0 NM,Cedar waxwing,Small,2-10,A,2.0,C,2.0,ASW,TX,Overcast,1
3,Night,Approach,0-500 ft,Unknown,Dark-eyed junco,Small,1,A,3.0,D,2.0,ANM,WA,No Cloud,0
3,Day,Approach,0-500 ft,Unknown,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,TX,Some Cloud,0
3,Night,Approach,"501-1,500 ft",0-5 NM,Unknown bird - large,Large,1,A,1.0,C,1.0,AWP,CA,No Cloud,0
3,Night,Approach,"501-1,500 ft",0-5 NM,American robin,Small,1,A,4.0,D,2.0,ASO,GA,Some Cloud,0
3,Day,Approach,"1,501-3,500 ft",5-20 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
1,Day,Landing Roll,0-500 ft,0 NM,Zebra dove,Small,1,A,4.0,C,4.0,AWP,HI,Some Cloud,0
1,Day,Take-off Run,0-500 ft,0 NM,Zebra dove,Small,1,A,4.0,C,4.0,AWP,HI,No Cloud,0
2,Day,Take-off Run,0-500 ft,0 NM,Zebra dove,Small,2-10,A,4.0,C,4.0,AWP,HI,Some Cloud,0
3,Day,Landing Roll,0-500 ft,0 NM,Bald eagle,Large,1,A,2.0,A,2.0,AEA,DC,No Cloud,1
3,Night,Landing Roll,0-500 ft,0 NM,Perching birds (y),Small,1,A,4.0,D,2.0,AEA,PA,Overcast,0
3,Night,Climb,"3,501-10,000 ft",5-20 NM,Unknown bird - large,Large,2-10,A,4.0,D,2.0,ASW,TX,Some Cloud,0
3,Day,Approach,Unknown,Unknown,Unknown bird,Unknown,1,A,4.0,D,2.0,ASO,NC,Unknown,0
